cohort,protocol,fold,solvent,model,fit_scope,training_groups,scale,mean_mobile_nm,amplitude_nm,half_concentration_g_l,bound_hit,training_condition_mse
including_summaries_sensitivity,leave_one_solvent_out,hexane,hexane,scaled_lld,pooled_other_solvents,24,0.008303085471718038,,,,,
including_summaries_sensitivity,leave_one_solvent_out,hexane,hexane,saturating_mobile,pooled_other_solvents,24,,,0.8312402356374828,0.10767629900447714,False,0.2767723297422842
including_summaries_sensitivity,leave_one_solvent_out,toluene,toluene,fixed_lld,pooled_other_solvents,25,1.0,,,,,
including_summaries_sensitivity,leave_one_solvent_out,toluene,toluene,local_mean,pooled_other_solvents,25,,2.1642666666666663,,,,
including_summaries_sensitivity,leave_one_solvent_out,toluene,toluene,scaled_lld,pooled_other_solvents,25,0.7700078411409451,,,,,
including_summaries_sensitivity,leave_one_solvent_out,toluene,toluene,saturating_mobile,pooled_other_solvents,25,,,29.61409449016579,26.241131372458923,False,3.187078382532688
including_summaries_sensitivity,ood_low_concentration,low,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
including_summaries_sensitivity,ood_low_concentration,low,ethyl_acetate,local_mean,same_solvent,7,,1.268809523809524,,,,
including_summaries_sensitivity,ood_low_concentration,low,ethyl_acetate,scaled_lld,same_solvent,7,0.27561525953307114,,,,,
including_summaries_sensitivity,ood_low_concentration,low,ethyl_acetate,saturating_mobile,same_solvent,7,,,3.416361577179062,4.256432662703203,False,0.18752772471696177
including_summaries_sensitivity,ood_low_concentration,low,hexane,fixed_lld,same_solvent,12,1.0,,,,,
including_summaries_sensitivity,ood_low_concentration,low,hexane,local_mean,same_solvent,12,,3.6159722222222217,,,,
including_summaries_sensitivity,ood_low_concentration,low,hexane,scaled_lld,same_solvent,12,1.037702913171761,,,,,
including_summaries_sensitivity,ood_low_concentration,low,hexane,saturating_mobile,same_solvent,12,,,645.3002260623786,497.7738300962062,False,0.07517545646108059
including_summaries_sensitivity,ood_low_concentration,low,toluene,fixed_lld,same_solvent,12,1.0,,,,,
including_summaries_sensitivity,ood_low_concentration,low,toluene,local_mean,same_solvent,12,,0.2600892857142857,,,,
including_summaries_sensitivity,ood_low_concentration,low,toluene,scaled_lld,same_solvent,12,0.0030743437314094614,,,,,
including_summaries_sensitivity,ood_low_concentration,low,toluene,saturating_mobile,same_solvent,12,,,0.28375889069676824,0.009528880717004569,False,0.009035551808313362
including_summaries_sensitivity,ood_high_concentration,high,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
including_summaries_sensitivity,ood_high_concentration,high,ethyl_acetate,local_mean,same_solvent,7,,0.8371428571428572,,,,
including_summaries_sensitivity,ood_high_concentration,high,ethyl_acetate,scaled_lld,same_solvent,7,0.4675320718884027,,,,,
including_summaries_sensitivity,ood_high_concentration,high,ethyl_acetate,saturating_mobile,same_solvent,7,,,1.1264961548049088,0.1292193437479266,False,0.03714553821363
including_summaries_sensitivity,ood_high_concentration,high,hexane,fixed_lld,same_solvent,12,1.0,,,,,
including_summaries_sensitivity,ood_high_concentration,high,hexane,local_mean,same_solvent,12,,1.0472222222222223,,,,
including_summaries_sensitivity,ood_high_concentration,high,hexane,scaled_lld,same_solvent,12,1.1041180269192046,,,,,
including_summaries_sensitivity,ood_high_concentration,high,hexane,saturating_mobile,same_solvent,12,,,8.252967791461456,4.063866051223111,False,0.020047817604324933
including_summaries_sensitivity,ood_high_concentration,high,toluene,fixed_lld,same_solvent,12,1.0,,,,,
including_summaries_sensitivity,ood_high_concentration,high,toluene,local_mean,same_solvent,12,,0.260625,,,,
including_summaries_sensitivity,ood_high_concentration,high,toluene,scaled_lld,same_solvent,12,0.15943719986034327,,,,,
including_summaries_sensitivity,ood_high_concentration,high,toluene,saturating_mobile,same_solvent,12,,,0.3377503238716835,0.009037184210198331,False,0.005779353162469497
