cohort,protocol,fold,model,target,n_train,n_test,n_train_groups,n_test_groups,coverage_80,mean_width_nm,rmse_nm,mae_nm,r2
including_summaries_sensitivity,grouped_cv,5,rf_raw,mobile_nm,113,28,31,9,1.0,1.733843757784874,0.10779614329606785,0.09027049274138557,0.9144845733754522
including_summaries_sensitivity,grouped_cv,5,rf_log_interactions,bonded_nm,113,28,31,9,0.9285714285714286,0.6571650568875571,0.11660136666714332,0.08276407172688423,0.5899562647112486
including_summaries_sensitivity,grouped_cv,5,rf_log_interactions,mobile_nm,113,28,31,9,1.0,4.391358431702227,0.24397491392630996,0.14430074553422778,0.5619452766339093
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,mean,bonded_nm,108,33,31,9,0.8181818181818182,0.4914705882352943,0.26720360009640004,0.22559764309764307,-0.03529305490129775
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,mean,mobile_nm,108,33,31,9,0.9696969696969697,3.06,0.652848036312641,0.49087822671155995,-0.027378484095842204
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,ridge_raw,bonded_nm,108,33,31,9,0.5757575757575758,0.3655982924315092,0.2698047644267134,0.21388178215820586,-0.05554783490776316
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,ridge_raw,mobile_nm,108,33,31,9,0.9090909090909091,1.9798554168294753,0.9253276889848078,0.7048295993455715,-1.0639414728903187
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,ridge_log_interactions,bonded_nm,108,33,31,9,0.696969696969697,0.40749821078001924,0.24439366505438606,0.19506494888227205,0.13391886495252947
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,ridge_log_interactions,mobile_nm,108,33,31,9,0.6060606060606061,1.0707751107517038,1.1922794567677089,1.0033333333333334,-2.426591900736297
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,rf_raw,bonded_nm,108,33,31,9,0.45454545454545453,0.3739728285603288,0.2723043679074405,0.23012303276269183,-0.07519665763474537
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,rf_raw,mobile_nm,108,33,31,9,0.8787878787878788,1.6294335978163252,0.5099180453724508,0.4052624346318665,0.37323169760582775
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,rf_log_interactions,bonded_nm,108,33,31,9,0.5151515151515151,0.40978030663780685,0.31116510795195784,0.24958454572784125,-0.4039785554362978
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,rf_log_interactions,mobile_nm,108,33,31,9,1.0,2.6610656648906628,0.655074152003434,0.45819797957093406,-0.034396848281945225
including_summaries_sensitivity,leave_one_solvent_out,hexane,mean,bonded_nm,83,58,24,16,1.0,0.6335849056603773,0.09165009391696174,0.07474449522226839,-0.024685393139662004
including_summaries_sensitivity,leave_one_solvent_out,hexane,mean,mobile_nm,83,58,24,16,0.5172413793103449,0.892075471698113,3.06886956045954,1.6584669713336102,-0.24437467783406452
including_summaries_sensitivity,leave_one_solvent_out,hexane,ridge_raw,bonded_nm,83,58,24,16,1.0,0.5315195888801748,0.0933137595367461,0.0752025119190502,-0.06222395439215078
including_summaries_sensitivity,leave_one_solvent_out,hexane,ridge_raw,mobile_nm,83,58,24,16,0.10344827586206896,0.9639996796650238,2.893619698338575,1.7362858043101004,-0.10631094841114486
